"Date Time, GMT+00:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
22/01/2018 12:00:00   ,12.219    ,53.503 ,3.335      ,Logged            ,                  ,                ,         ,
22/01/2018 12:10:00   ,12.364    ,55.878 ,4.069      ,                  ,                  ,                ,         ,
22/01/2018 12:20:00   ,12.340    ,55.092 ,3.851      ,                  ,                  ,                ,         ,
22/01/2018 12:30:00   ,12.050    ,54.657 ,3.470      ,                  ,                  ,                ,         ,
22/01/2018 12:40:00   ,12.050    ,52.872 ,3.014      ,                  ,                  ,                ,         ,
22/01/2018 12:50:00   ,12.268    ,53.873 ,3.475      ,                  ,                  ,                ,         ,
22/01/2018 13:00:00   ,12.340    ,52.001 ,3.056      ,                  ,                  ,                ,         ,
22/01/2018 13:10:00   ,12.413    ,49.441 ,2.427      ,                  ,                  ,                ,         ,
22/01/2018 13:20:00   ,12.461    ,50.828 ,2.853      ,                  ,                  ,                ,         ,
22/01/2018 13:30:00   ,12.268    ,48.560 ,2.046      ,                  ,                  ,                ,         ,
22/01/2018 13:40:00   ,12.461    ,48.092 ,2.090      ,                  ,                  ,                ,         ,
22/01/2018 13:50:00   ,12.389    ,48.700 ,2.197      ,                  ,                  ,                ,         ,
22/01/2018 14:00:00   ,12.147    ,47.681 ,1.683      ,                  ,                  ,                ,         ,
22/01/2018 14:10:00   ,12.001    ,47.384 ,1.464      ,                  ,                  ,                ,         ,
22/01/2018 14:20:00   ,12.050    ,46.244 ,1.174      ,                  ,                  ,                ,         ,
22/01/2018 14:30:00   ,12.025    ,46.737 ,1.297      ,                  ,                  ,                ,         ,
22/01/2018 14:40:00   ,11.807    ,49.176 ,1.794      ,                  ,                  ,                ,         ,
22/01/2018 14:50:00   ,11.710    ,48.425 ,1.494      ,                  ,                  ,                ,         ,
22/01/2018 15:00:00   ,11.565    ,47.543 ,1.108      ,                  ,                  ,                ,         ,
22/01/2018 15:10:00   ,11.297    ,49.628 ,1.449      ,                  ,                  ,                ,         ,
22/01/2018 15:20:00   ,11.175    ,51.290 ,1.786      ,                  ,                  ,                ,         ,
