"Date Time, GMT+00:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","End Of File"
22/01/2018 23:30:00   ,7.469     ,44.098 ,-3.654     ,                  ,                  ,                ,
22/01/2018 23:40:00   ,7.419     ,45.782 ,-3.204     ,                  ,                  ,                ,
22/01/2018 23:50:00   ,6.940     ,50.969 ,-2.228     ,                  ,                  ,                ,
23/01/2018 00:00:00   ,6.408     ,55.331 ,-1.644     ,                  ,                  ,                ,
23/01/2018 00:10:00   ,6.000     ,56.770 ,-1.691     ,                  ,                  ,                ,
23/01/2018 00:20:00   ,5.719     ,58.042 ,-1.666     ,                  ,                  ,                ,
23/01/2018 00:30:00   ,5.693     ,57.805 ,-1.744     ,                  ,                  ,                ,
23/01/2018 00:40:00   ,5.411     ,59.968 ,-1.533     ,                  ,                  ,                ,
23/01/2018 00:50:00   ,5.308     ,60.298 ,-1.559     ,                  ,                  ,                ,
23/01/2018 01:00:00   ,5.385     ,59.123 ,-1.741     ,                  ,                  ,                ,
23/01/2018 01:10:00   ,5.411     ,60.402 ,-1.439     ,                  ,                  ,                ,
23/01/2018 01:20:00   ,5.231     ,61.093 ,-1.462     ,                  ,                  ,                ,
23/01/2018 01:30:00   ,5.128     ,62.425 ,-1.281     ,                  ,                  ,                ,
23/01/2018 01:40:00   ,5.102     ,62.420 ,-1.307     ,                  ,                  ,                ,
23/01/2018 01:50:00   ,5.539     ,62.295 ,-0.917     ,                  ,                  ,                ,
23/01/2018 02:00:00   ,5.847     ,61.514 ,-0.789     ,                  ,                  ,                ,
23/01/2018 02:10:00   ,5.949     ,60.752 ,-0.854     ,                  ,                  ,                ,
23/01/2018 02:20:00   ,6.000     ,59.747 ,-1.024     ,                  ,                  ,                ,
23/01/2018 02:30:00   ,6.026     ,60.736 ,-0.785     ,                  ,                  ,                ,
23/01/2018 02:40:00   ,5.975     ,61.218 ,-0.730     ,                  ,                  ,                ,
23/01/2018 02:50:00   ,5.847     ,62.635 ,-0.554     ,                  ,                  ,                ,
23/01/2018 03:00:00   ,6.026     ,61.947 ,-0.528     ,                  ,                  ,                ,
23/01/2018 03:10:00   ,6.179     ,61.627 ,-0.450     ,                  ,                  ,                ,
23/01/2018 03:20:00   ,6.153     ,61.623 ,-0.475     ,                  ,                  ,                ,
23/01/2018 03:30:00   ,5.565     ,60.803 ,-1.207     ,                  ,                  ,                ,
23/01/2018 03:40:00   ,5.360     ,64.093 ,-0.719     ,                  ,                  ,                ,
23/01/2018 03:50:00   ,4.792     ,67.324 ,-0.628     ,                  ,                  ,                ,
23/01/2018 04:00:00   ,4.324     ,70.410 ,-0.504     ,                  ,                  ,                ,
23/01/2018 04:10:00   ,4.141     ,71.009 ,-0.573     ,                  ,                  ,                ,
23/01/2018 04:20:00   ,4.246     ,67.223 ,-1.171     ,                  ,                  ,                ,
23/01/2018 04:30:00   ,4.194     ,68.693 ,-0.945     ,                  ,                  ,                ,
23/01/2018 04:40:00   ,4.089     ,67.865 ,-1.200     ,                  ,                  ,                ,
23/01/2018 04:50:00   ,3.932     ,70.057 ,-0.946     ,                  ,                  ,                ,
23/01/2018 05:00:00   ,3.827     ,71.607 ,-0.770     ,                  ,                  ,                ,
23/01/2018 05:10:00   ,3.906     ,70.080 ,-0.967     ,                  ,                  ,                ,
23/01/2018 05:20:00   ,4.168     ,67.124 ,-1.265     ,                  ,                  ,                ,
23/01/2018 05:30:00   ,3.906     ,68.860 ,-1.191     ,                  ,                  ,                ,
23/01/2018 05:40:00   ,4.194     ,65.217 ,-1.609     ,                  ,                  ,                ,
23/01/2018 05:50:00   ,4.194     ,66.905 ,-1.282     ,                  ,                  ,                ,
23/01/2018 06:00:00   ,4.168     ,67.208 ,-1.249     ,                  ,                  ,                ,
23/01/2018 06:10:00   ,4.298     ,66.250 ,-1.308     ,                  ,                  ,                ,
23/01/2018 06:20:00   ,5.282     ,62.050 ,-1.212     ,                  ,                  ,                ,
23/01/2018 06:30:00   ,6.331     ,58.140 ,-1.067     ,                  ,                  ,                ,
23/01/2018 06:40:00   ,7.066     ,55.224 ,-1.053     ,                  ,                  ,                ,
23/01/2018 06:50:00   ,7.368     ,54.885 ,-0.851     ,                  ,                  ,                ,
